id,label,sortlabel,url
globalcache,GlobalCache,globalcache, http://docs.openhab.org/addons/bindings/globalcache/readme.html
hdpowerview,Hunter Douglas PowerView,hunter douglas powerview, http://docs.openhab.org/addons/bindings/hdpowerview/readme.html
homematic,Homematic,homematic, http://docs.openhab.org/addons/bindings/homematic/readme.html
keba,Keba,keba, http://docs.openhab.org/addons/bindings/keba/readme.html
kodi,Kodi,kodi, http://docs.openhab.org/addons/bindings/kodi/readme.html
kostalinverter,Kostal inverter,kostal inverter, http://docs.openhab.org/addons/bindings/kostalinverter/readme.html
lutron,Lutron,lutron, http://docs.openhab.org/addons/bindings/lutron/readme.html
max,MAX!,max!, http://docs.openhab.org/addons/bindings/max/readme.html
miele,Miele@home,miele@home, http://docs.openhab.org/addons/bindings/miele/readme.html
minecraft,Minecraft,minecraft, http://docs.openhab.org/addons/bindings/minecraft/readme.html
netatmo,Netatmo,netatmo, http://docs.openhab.org/addons/bindings/netatmo/readme.html
oceanic,Oceanic,oceanic, http://docs.openhab.org/addons/bindings/oceanic/readme.html
onkyo,Onkyo,onkyo, http://docs.openhab.org/addons/bindings/onkyo/readme.html
opensprinkler,OpenSprinkler,opensprinkler, http://docs.openhab.org/addons/bindings/opensprinkler/readme.html
orvibo,Orvibo,orvibo, http://docs.openhab.org/addons/bindings/orvibo/readme.html
pioneeravr,PioneerAVR Configuration,pioneeravr configuration, http://docs.openhab.org/addons/bindings/pioneeravr/readme.html
pulseaudio,Pulseaudio,pulseaudio, http://docs.openhab.org/addons/bindings/pulseaudio/readme.html
rfxcom,RFXCOM,rfxcom, http://docs.openhab.org/addons/bindings/rfxcom/readme.html
russound,Russound,russound, http://docs.openhab.org/addons/bindings/russound/readme.html
samsungtv,Samsung TV,samsung tv, http://docs.openhab.org/addons/bindings/samsungtv/readme.html
silvercrestwifisocket,Silvercrest Wifi Plug,silvercrest wifi plug, http://docs.openhab.org/addons/bindings/silvercrestwifisocket/readme.html
smaenergymeter,SMA Energy Meter,sma energy meter, http://docs.openhab.org/addons/bindings/smaenergymeter/readme.html
squeezebox,Logitech Squeezebox,logitech squeezebox, http://docs.openhab.org/addons/bindings/squeezebox/readme.html
tellstick,Tellstick,tellstick, http://docs.openhab.org/addons/bindings/tellstick/readme.html
tesla,Tesla,tesla, http://docs.openhab.org/addons/bindings/tesla/readme.html
urtsi,Somfy URTSI II,somfy urtsi ii, http://docs.openhab.org/addons/bindings/urtsi/readme.html
vitotronic,Vitotronic,vitotronic, http://docs.openhab.org/addons/bindings/vitotronic/readme.html
yamahareceiver,Yamahareceiver,yamahareceiver, http://docs.openhab.org/addons/bindings/yamahareceiver/readme.html
zoneminder,Zoneminder,zoneminder, http://docs.openhab.org/addons/bindings/zoneminder/readme.html
zwave,ZWave,zwave, http://docs.openhab.org/addons/bindings/zwave/readme.html
influxdb,InfluxDB (0.9 and newer),influxdb (0.9 and newer), http://docs.openhab.org/addons/persistence/influxdb/readme.html
mqtt,MQTT,mqtt, http://docs.openhab.org/addons/persistence/mqtt/readme.html
voicerss,VoiceRSS Text-to-Speech,voicerss text-to-speech, http://docs.openhab.org/addons/voice/voicerss/readme.html
amazon-echo,Amazon Echo,amazon echo,http://docs.openhab.org/addons/io/hueemulation/readme.html
ifttt,IFTTT,ifttt,/ifttt.html
